X,Y,, 
"2,52375","0,0713",,
"2,5238","0,07073",,
"2,52385","0,07003",,
"2,5239","0,06987",,
"2,52395","0,06923",,
"2,524","0,06873",,
"2,52405","0,06848",,
"2,5241","0,06773",,
"2,52415","0,06728",,
"2,5242","0,0673",,
"2,52425","0,06685",,
"2,5243","0,06629",,
"2,52435","0,06595",,
"2,5244","0,06532",,
"2,52445","0,06485",,
"2,5245","0,06461",,
"2,52455","0,06426",,
"2,5246","0,06402",,
"2,52465","0,06365",,
"2,5247","0,06297",,
"2,52475","0,06254",,
"2,5248","0,06254",,
"2,52485","0,06171",,
"2,5249","0,06154",,
"2,52495","0,06139",,
"2,525","0,06099",,
"2,52505","0,06055",,
"2,5251","0,06019",,
"2,52515","0,06006",,
"2,5252","0,05952",,
"2,52525","0,05921",,
"2,5253","0,05889",,
"2,52535","0,05848",,
"2,5254","0,0581",,
"2,52545","0,05785",,
"2,5255","0,05757",,
"2,52555","0,05716",,
"2,5256","0,05692",,
"2,52565","0,05637",,
"2,5257","0,05646",,
"2,52575","0,05627",,
"2,5258","0,05582",,
"2,52585","0,0554",,
"2,5259","0,05494",,
"2,52595","0,05485",,
"2,526","0,05468",,
"2,52605","0,05451",,
"2,5261","0,05387",,
"2,52615","0,05389",,
"2,5262","0,05345",,
"2,52625","0,05331",,
"2,5263","0,053",,
"2,52635","0,05294",,
"2,5264","0,05253",,
"2,52645","0,05214",,
"2,5265","0,05191",,
"2,52655","0,0517",,
"2,5266","0,05158",,
"2,52665","0,05129",,
"2,5267","0,05087",,
"2,52675","0,0506",,
"2,5268","0,0505",,
"2,52685","0,05003",,
"2,5269","0,04995",,
"2,52695","0,04977",,
"2,527","0,04942",,
"2,52705","0,04927",,
"2,5271","0,04908",,
"2,52715","0,04906",,
"2,5272","0,04864",,
"2,52725","0,04847",,
"2,5273","0,0484",,
"2,52735","0,04784",,
"2,5274","0,0476",,
"2,52745","0,04746",,
"2,5275","0,04747",,
"2,52755","0,04716",,
"2,5276","0,0467",,
"2,52765","0,04682",,
"2,5277","0,04657",,
"2,52775","0,04613",,
"2,5278","0,04616",,
"2,52785","0,04588",,
"2,5279","0,04561",,
"2,52795","0,04523",,
"2,528","0,04519",,
"2,52805","0,0454",,
"2,5281","0,0448",,
"2,52815","0,04456",,
"2,5282","0,04446",,
"2,52825","0,04441",,
"2,5283","0,04407",,
"2,52835","0,04395",,
"2,5284","0,0436",,
"2,52845","0,04351",,
"2,5285","0,04321",,
"2,52855","0,04323",,
